['2018-07-13 13:28:49.605754', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 13:42:23.533869', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 13:55:50.455857', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 14:08:58.111720', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 14:21:09.798555', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 14:33:35.999119', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 14:45:24.705217', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 14:57:32.980577', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 15:22:27.949735', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 15:53:35.072306', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 16:07:44.111719', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 16:20:23.246593', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 16:31:42.474388', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 16:42:53.551131', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 16:54:39.011494', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 17:06:18.489131', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 17:17:24.654694', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 17:28:26.009959', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 17:39:11.238156', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 18:00:50.312404', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 18:16:54.759033', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
['2018-07-13 18:32:14.459643', {'R': [39, 40, 41, 42, 43, 46, 47, 84, 85, 86, 87], 'U': []}]
